,Date,Response type,Response time
328,0.0,Flight_Time,246.83
329,1.0,Flight_Time,249.665
330,2.0,Flight_Time,248.747
331,3.0,Flight_Time,247.459
332,4.0,Flight_Time,238.528
333,5.0,Flight_Time,243.668
334,6.0,Flight_Time,247.919
335,7.0,Flight_Time,250.699
336,8.0,Flight_Time,249.653
337,9.0,Flight_Time,245.771
338,10.0,Flight_Time,238.811
339,11.0,Flight_Time,238.848
340,12.0,Flight_Time,241.555
341,13.0,Flight_Time,248.704
342,14.0,Flight_Time,234.035
343,15.0,Flight_Time,241.232
344,16.0,Flight_Time,229.417
345,17.0,Flight_Time,238.895
346,18.0,Flight_Time,237.95
347,19.0,Flight_Time,243.703
348,20.0,Flight_Time,233.64
349,21.0,Flight_Time,232.293
350,22.0,Flight_Time,244.248
351,23.0,Flight_Time,238.198
352,24.0,Flight_Time,226.222
353,25.0,Flight_Time,229.247
354,26.0,Flight_Time,233.545
355,27.0,Flight_Time,228.836
356,28.0,Flight_Time,231.466
357,29.0,Flight_Time,231.468
358,30.0,Flight_Time,222.923
359,31.0,Flight_Time,230.655
360,32.0,Flight_Time,221.251
361,33.0,Flight_Time,225.126
362,34.0,Flight_Time,234.344
363,35.0,Flight_Time,227.675
364,36.0,Flight_Time,223.642
365,37.0,Flight_Time,221.0
366,38.0,Flight_Time,226.668
367,39.0,Flight_Time,217.376
368,40.0,Flight_Time,230.936
369,41.0,Flight_Time,226.223
370,42.0,Flight_Time,211.723
371,43.0,Flight_Time,229.765
372,44.0,Flight_Time,219.481
373,45.0,Flight_Time,218.52
374,46.0,Flight_Time,221.387
375,47.0,Flight_Time,224.916
376,48.0,Flight_Time,223.901
377,49.0,Flight_Time,221.419
378,50.0,Flight_Time,228.172
379,51.0,Flight_Time,213.215
380,52.0,Flight_Time,211.19
381,53.0,Flight_Time,208.017
382,54.0,Flight_Time,206.267
383,55.0,Flight_Time,216.009
384,56.0,Flight_Time,217.311
385,57.0,Flight_Time,221.413
386,58.0,Flight_Time,218.939
387,59.0,Flight_Time,200.033
388,60.0,Flight_Time,205.601
389,61.0,Flight_Time,213.732
390,63.0,Flight_Time,211.911
391,64.0,Flight_Time,211.572
392,65.0,Flight_Time,209.87
393,66.0,Flight_Time,226.836
394,67.0,Flight_Time,213.329
395,68.0,Flight_Time,200.703
396,69.0,Flight_Time,208.429
397,70.0,Flight_Time,201.232
398,71.0,Flight_Time,208.867
399,72.0,Flight_Time,199.196
400,73.0,Flight_Time,209.137
401,74.0,Flight_Time,199.527
402,75.0,Flight_Time,209.856
403,76.0,Flight_Time,216.789
404,77.0,Flight_Time,218.598
405,78.0,Flight_Time,221.193
406,79.0,Flight_Time,208.404
407,80.0,Flight_Time,195.127
408,81.0,Flight_Time,192.458
409,82.0,Flight_Time,203.031
410,83.0,Flight_Time,207.007
411,84.0,Flight_Time,219.03
412,85.0,Flight_Time,205.737
413,86.0,Flight_Time,220.858
414,87.0,Flight_Time,202.646
415,88.0,Flight_Time,199.18
416,89.0,Flight_Time,222.907
417,90.0,Flight_Time,211.085
418,91.0,Flight_Time,221.78
419,92.0,Flight_Time,235.269
420,93.0,Flight_Time,199.814
421,94.0,Flight_Time,207.846
422,95.0,Flight_Time,177.551
423,96.0,Flight_Time,213.836
424,97.0,Flight_Time,215.67
425,98.0,Flight_Time,204.561
426,99.0,Flight_Time,209.527
427,100.0,Flight_Time,211.547
428,101.0,Flight_Time,197.03
429,102.0,Flight_Time,213.968
430,103.0,Flight_Time,195.235
431,104.0,Flight_Time,209.989
432,105.0,Flight_Time,206.594
433,106.0,Flight_Time,220.318
434,107.0,Flight_Time,199.012
435,108.0,Flight_Time,199.308
436,109.0,Flight_Time,190.878
437,110.0,Flight_Time,205.625
438,111.0,Flight_Time,209.24
439,112.0,Flight_Time,196.03
440,113.0,Flight_Time,191.126
441,114.0,Flight_Time,172.915
442,115.0,Flight_Time,195.444
443,116.0,Flight_Time,190.349
444,117.0,Flight_Time,192.158
445,118.0,Flight_Time,209.384
446,119.0,Flight_Time,213.599
447,120.0,Flight_Time,197.954
448,121.0,Flight_Time,184.237
449,122.0,Flight_Time,191.576
450,123.0,Flight_Time,198.296
451,124.0,Flight_Time,202.923
452,125.0,Flight_Time,198.71
453,126.0,Flight_Time,202.52
454,127.0,Flight_Time,192.215
455,128.0,Flight_Time,185.465
456,129.0,Flight_Time,196.198
457,130.0,Flight_Time,194.519
458,131.0,Flight_Time,179.405
459,132.0,Flight_Time,190.735
460,133.0,Flight_Time,182.324
461,134.0,Flight_Time,202.643
462,135.0,Flight_Time,189.546
463,136.0,Flight_Time,210.212
464,138.0,Flight_Time,211.179
465,139.0,Flight_Time,226.214
466,140.0,Flight_Time,191.651
467,141.0,Flight_Time,200.984
468,142.0,Flight_Time,203.735
469,143.0,Flight_Time,194.923
470,144.0,Flight_Time,201.212
471,145.0,Flight_Time,190.164
472,147.0,Flight_Time,203.558
473,148.0,Flight_Time,204.972
474,149.0,Flight_Time,200.432
475,150.0,Flight_Time,218.807
476,151.0,Flight_Time,209.336
477,153.0,Flight_Time,210.546
478,154.0,Flight_Time,221.876
479,156.0,Flight_Time,225.887
480,157.0,Flight_Time,206.199
481,159.0,Flight_Time,210.446
482,161.0,Flight_Time,195.342
483,163.0,Flight_Time,211.346
484,164.0,Flight_Time,212.862
485,165.0,Flight_Time,189.746
486,167.0,Flight_Time,203.728
487,168.0,Flight_Time,195.157
488,170.0,Flight_Time,176.392
489,172.0,Flight_Time,193.246
490,176.0,Flight_Time,186.273
491,179.0,Flight_Time,198.334
